,u,v,Distance_miles,TimeToCross_minutes,edge_id,lon_u,lat_u,isHighPriority_u,lon_v,lat_v,isHighPriority_v,heading_u,heading_v
0,IA158939275,IA158951452,18.50118804144519,22,0,-92.8583055,40.7834231,0,-92.8301959,40.8580327,0,0.4128588336250685,0.40386366402275226
1,IA158939275,IA158950011,11.9469189436009,14,1,-92.8583055,40.7834231,0,-92.8679661,40.7325099,1,0.4128588336250685,0.41758042629685144
2,IA158939275,IA158953230,12.437898819674862,14,2,-92.8583055,40.7834231,0,-92.90226,40.8175365,0,0.4128588336250685,0.4146024861494359
3,IA158943282,IA158949125,4.3167775322434805,5,3,-92.9250923,40.7398306,0,-92.934644,40.7542574,0,0.4226875711406866,0.42265491531931026
4,IA158943282,IA158950741,9.898627402465088,11,4,-92.9250923,40.7398306,0,-92.9825385,40.7394862,0,0.4226875711406866,0.4285857099600708
5,IA158943282,IA158950011,10.325279448434664,12,5,-92.9250923,40.7398306,0,-92.8679661,40.7325099,1,0.4226875711406866,0.41758042629685144
6,IA158948478,IA158948866,8.349629737727678,10,6,-92.6955679,40.7390861,0,-92.6958447,40.7759488,0,0.4014162494080812,0.3984607737358511
7,IA158948478,IA158950598,18.16547719672703,21,7,-92.6955679,40.7390861,0,-92.8007977,40.7397717,0,0.4014162494080812,0.4107151195319062
8,IA158948866,IA158956189,9.84647529199524,11,8,-92.6958447,40.7759488,0,-92.6958844,40.8194212,0,0.3984607737358511,0.39474195916171884
9,IA158948866,IA158948478,8.349629737727676,10,9,-92.6958447,40.7759488,0,-92.6955679,40.7390861,0,0.3984607737358511,0.4014162494080812
10,IA158948866,IA159471844,15.265995229291834,18,10,-92.6958447,40.7759488,0,-92.626141,40.790762,0,0.3984607737358511,0.3913222725120948
11,IA158948866,IA158949790,6.54069706250957,7,11,-92.6958447,40.7759488,0,-92.7338294,40.7760622,0,0.3984607737358511,0.4017888957183164
12,IA158948924,IA159458953,11.31853738235413,13,12,-92.6578672,40.8418146,0,-92.595582,40.839962,0,0.3894285098824466,0.3844202928393132
13,IA158948924,IA159452089,11.87996907610615,14,13,-92.6578672,40.8418146,0,-92.639095,40.8907085,0,0.3894285098824466,0.383159457266647
14,IA158948924,IA158956205,8.973480263275158,10,14,-92.6578672,40.8418146,0,-92.6928736,40.8187781,0,0.3894285098824466,0.3945349601171642
