,Node,longitude,latitude,isHighPriority
0,IA158939275,-92.8583055,40.7834231,False
1,IA158943282,-92.9250923,40.7398306,False
2,IA158948478,-92.6955679,40.7390861,False
3,IA158948866,-92.6958447,40.7759488,False
4,IA158948924,-92.6578672,40.8418146,False
5,IA158949077,-92.9448488,40.812221,False
6,IA158949125,-92.934644,40.7542574,False
7,IA158949790,-92.7338294,40.7760622,False
8,IA158950011,-92.8679661,40.7325099,True
9,IA158950243,-92.7733362,40.8701303,False
10,IA158950598,-92.8007977,40.7397717,False
11,IA158950741,-92.9825385,40.7394862,False
12,IA158951452,-92.8301959,40.8580327,False
13,IA158951484,-92.8310919,40.8924176,False
14,IA158953230,-92.90226,40.8175365,False
15,IA158953308,-92.9543872,40.8918527,True
16,IA158956189,-92.6958844,40.8194212,False
17,IA158956205,-92.6928736,40.8187781,False
18,IA158962825,-92.8209776,40.8924381,False
19,IA158964138,-92.8685303,40.8921804,False
20,IA158967694,-93.0404559,40.8116274,False
21,IA159441165,-92.514714,40.842199,False
22,IA159441280,-92.509837,40.871193,False
23,IA159442095,-92.485616,40.740246,False
24,IA159442492,-92.486592,40.823458,False
25,IA159451752,-92.534261,40.882427,False
26,IA159451821,-92.534086,40.899092,False
27,IA159452089,-92.639095,40.8907085,False
28,IA159455199,-92.504963,40.738828,False
29,IA159456280,-92.481752,40.798637,False
30,IA159456290,-92.483045,40.79864,False
31,IA159456994,-92.55304,40.798983,False
32,IA159457152,-92.571609,40.827503,False
33,IA159458953,-92.595582,40.839962,False
34,IA159459599,-92.536818,40.842135,False
35,IA159459632,-92.53858,40.843472,False
36,IA159459678,-92.540397,40.842143,False
37,IA159471844,-92.626141,40.790762,False
38,IA160418433,-92.467633,41.170913,False
39,IA160421894,-92.525625,41.176012,False
40,IA160423601,-92.578313,41.165034,False
41,IA160437079,-92.5256512,41.1651296,False
42,IA160443442,-92.9123675,41.1650953,False
43,IA160460393,-92.9293148,41.1824915,False
44,IA160501666,-92.7908585,41.0159233,False
45,IA160501682,-92.7931557,41.0271345,True
46,IA160501748,-92.8091251,41.0154029,True
47,IA160502149,-92.8080884,41.0328642,False
48,IA160502151,-92.8067608,41.0329157,False
49,IA160504905,-92.6952706,40.9610832,False
50,IA160506484,-92.769229,41.057575,False
51,IA160506863,-92.8071642,41.0271355,True
52,IA160507616,-93.0555674,41.0011134,False
53,IA160507775,-92.6390339,40.8988761,False
54,IA160508066,-92.6399931,41.1039764,False
55,IA160508949,-92.687088,40.988232,False
56,IA160508984,-92.6874755,41.0159154,False
